t_i,min_t,max_t,length_t,g_mse,g_pct_min,k4_mse,k4_pct_min,l_mse,l_pct_min
103,1,46,13,12880.188561081435,1.010673451359932,15249.355905533823,1.0096059857411646,13335.580617143778,1.0093090871131896
104,1,46,15,12869.737777416316,1.0098534067195797,15248.10268443855,1.0095230143994842,13330.309288782388,1.0089101243856522
105,1,46,17,12874.362845202404,1.0102163232405585,15239.122222748527,1.0089284497547126,13332.208648866159,1.0090538782608893
106,1,46,19,12865.385202329833,1.0095118719614435,15247.133826194009,1.0094588697176312,13329.94585872207,1.0088826180270662
107,1,46,21,12877.46054762498,1.0104593915453326,15248.373116688344,1.0095409187634337,13329.753264595085,1.008868041458706
108,1,46,23,12871.359896052256,1.0099806899679986,15208.288886440492,1.0068870834773562,13330.823189298519,1.008949019164642
109,1,46,25,12879.308046501805,1.0106043597697782,15219.956064541888,1.007659526124826,13334.372713650913,1.0092176664239292
110,1,46,27,12875.458481052694,1.0103022948131792,15224.825043854318,1.0079818840453003,13331.8980203591,1.0090303682103041
111,1,46,29,12874.999549016093,1.010266283661388,15212.161058243511,1.0071434462938822,13333.161049351003,1.0091259610963894
112,1,46,31,12892.017983709251,1.0116016740593246,15207.96812425443,1.0068658469461182,13333.166076688638,1.009126341592575
113,1,46,33,12880.414760793245,1.010691200637619,15220.121115480428,1.0076704535644199,13330.330758458644,1.008911749327225
114,1,46,35,12881.695837201594,1.0107917232277148,15225.71612996468,1.0080408797088813,13331.42242046679,1.0089943722303074
115,1,46,37,12875.659900849945,1.0103180996782009,15224.174233041336,1.0079387961603796,13330.876912120642,1.0089530851992685
116,1,46,39,12879.781486376203,1.0106415093122403,15218.037269228078,1.0075324894652953,13331.68374095798,1.0090141503827539
117,1,46,41,12881.764111181838,1.0107970805017115,15225.88673539096,1.008052174891487,13330.386164804322,1.0089159427800474
118,1,46,43,12873.900166065063,1.0101800180639386,15213.750300044718,1.0072486643795,13331.274498534949,1.008983176696024
119,1,46,45,12872.924646644951,1.0101034717017081,15190.834003506809,1.0057314573381655,13330.853210689393,1.0089512913463703
120,1,46,46,12893.590811039472,1.011725089552715,15208.804032196365,1.0069211894580863,13337.413925316114,1.009447841821435
121,1,45,11,12882.794441131855,1.0108779276975182,15194.87691084702,1.005999123951481,13347.026017307531,1.0101753370892927
122,1,45,13,12875.850522931018,1.010333057275729,15184.14672788136,1.0052887164419875,13353.383537239119,1.010656508687491
123,1,45,15,12881.290282422615,1.0107599004445125,15190.80966973447,1.0057298462850588,13348.238521061943,1.0102671059513033
124,1,45,17,12874.20010225906,1.0102035532433296,15180.681185699446,1.005059275136245,13351.018540543928,1.0104775129074064
125,1,45,19,12884.743072970394,1.0110308315510872,15182.63395881175,1.0051885613457865,13347.346378597276,1.0101995837696722
126,1,45,21,12881.79783829225,1.0107997269765612,15171.149474461472,1.0044282142062078,13351.040264812149,1.0104791571178802
127,1,45,23,12879.230865658526,1.010598303598404,15167.471703030755,1.0041847219516076,13351.63842651422,1.010524429240542
128,1,45,25,12879.196978950966,1.0105956446003994,15169.134629354188,1.0042948184291496,13350.245761750679,1.0104190248159803
129,1,45,27,12879.432458026455,1.0106141220045786,15166.62258280778,1.0041285047011845,13351.47833916189,1.0105123129612377
130,1,45,29,12877.69605543219,1.0104778712040121,15160.174784750297,1.0037016187688206,13353.54969342311,1.0106690842888988
131,1,45,31,12887.501849712115,1.0112473052772182,15174.660476854835,1.004660665271961,13347.3478472454,1.0101996949249297
132,1,45,33,12888.35070838357,1.0113139129141429,15170.588272105388,1.004391058980674,13349.477843603723,1.010360904604635
133,1,45,35,12884.675391408598,1.011025520762559,15165.998076599699,1.0040871583512327,13350.053591797032,1.0104044803513592
134,1,45,37,12885.491089031264,1.0110895263419537,15167.212928678213,1.004167589415853,13351.19884211883,1.0104911591087375
135,1,45,39,12883.917604509454,1.0109660592805223,15168.217508777716,1.0042340991155347,13349.580658894043,1.010368686223583
136,1,45,41,12883.029818466033,1.0108963971183327,15162.50517899617,1.0038559059396588,13349.440968867606,1.0103581137245587
137,1,45,43,12883.37108416226,1.0109231753116332,15172.55714738235,1.0045214112576561,13348.216505613957,1.010265439702765
138,1,45,45,12881.78136163733,1.0107984340981522,15160.751789985865,1.0037398202471808,13351.591022067227,1.0105208414148226
139,1,44,11,12899.907264636387,1.0122207245293984,15134.365811886642,1.001992897846416,13343.279911165522,1.0098918114537039
140,1,44,13,12916.223270275772,1.0135009972252338,15125.16056194065,1.0013834507652875,13308.714781250896,1.0072757349046835
141,1,44,15,12900.504638757702,1.012267598855972,15112.606584915875,1.0005522962937423,13333.2788287262,1.0091348752784617
142,1,44,17,12908.95340929306,1.012930550957661,15122.121244189799,1.0011822282734764,13320.422057442329,1.0081618050792485
143,1,44,19,12902.875598654005,1.0124536416464225,15135.551662855878,1.0020714088500384,13341.929380415346,1.0097895959598524
144,1,44,21,12897.715690498531,1.0120487576527246,15134.602780535877,1.0020085867035837,13343.724919322194,1.0099254920851863
145,1,44,23,12911.720489340276,1.0131476762216465,15148.388002151478,1.0029212575300825,13324.91243895209,1.0085016615123894
146,1,44,25,12908.687407381973,1.0129096785093832,15133.628472641418,1.0019440812196607,13326.588629292328,1.008628524690732
147,1,44,27,12907.428591696687,1.0128109026578311,15137.554605619964,1.0022040166149988,13322.285197433235,1.0083028176213622
148,1,44,29,12913.004529564781,1.0132484313743548,15131.65965992843,1.0018137330848182,13305.182454013004,1.0070083892163166
149,1,44,31,12903.802789417801,1.0125263957901116,15135.898879224747,1.00209439681927,13342.000552070065,1.0097949826167902
150,1,44,33,12904.71896904045,1.012598285919429,15131.971254678649,1.0018343626725132,13334.942590235563,1.0092607977754566
151,1,44,35,12906.771870249795,1.0127593715076335,15137.608138277894,1.0022075608231749,13328.94185706094,1.0088066297346063
152,1,44,37,12908.358527848517,1.0128838722246707,15142.342394922302,1.0025209992317108,13331.230252636162,1.0089798279263682
153,1,44,39,12907.585884375807,1.0128232449876133,15140.997992694125,1.0024319911093205,13332.477013335696,1.0090741895398307
154,1,44,41,12901.046806183254,1.0123101412629094,15142.456460434401,1.0025285511063273,13339.336108395739,1.009593323064814
155,1,44,43,12902.387887542638,1.0124153722787146,15121.795546438361,1.0011606649758897,13333.516687336982,1.0091528777085172
156,1,44,44,12922.287235900845,1.0139768201557877,15140.576131080588,1.0024040611421259,13297.7307589643,1.0064444045093155
157,1,43,11,12919.253124019677,1.0137387416282715,15106.738306365405,1.000163778300769,13239.681635789973,1.002050931948887
158,1,43,13,12913.593157999201,1.0132946194506056,15116.097397387071,1.0007834106560702,13254.465938622194,1.0031698881926077
159,1,43,15,12930.76572044688,1.0146421038352778,15119.150646203234,1.000985555474504,13224.312988141413,1.000887749319374
160,1,43,17,12933.416196437229,1.0148500794952775,15132.261849140106,1.0018536019052735,13215.894138590855,1.0002505651128242
161,1,43,19,12919.538759264917,1.0137611546510132,15129.835258626172,1.0016929459193429,13232.00209983164,1.0014697030057997
162,1,43,21,12923.95350311227,1.014107567623146,15136.520126230607,1.002135527388956,13238.190904420842,1.0019381053115997
163,1,43,23,12933.699654473154,1.0148723216783113,15142.874375752115,1.0025562198032159,13216.232777997024,1.000276195180214
164,1,43,25,12927.820960553052,1.0144110365157888,15141.30750868933,1.0024524830699895,13226.3322240239,1.0010405760453884
165,1,43,27,12935.318639342093,1.0149993590285356,15144.835759043173,1.002686076062277,13219.014040776501,1.000486696235816
166,1,43,29,12923.698627908658,1.0140875682574162,15146.130151708696,1.002771773228184,13231.530529786141,1.0014340120264718
167,1,43,31,12921.663508679292,1.0139278779729366,15149.927734084304,1.0030231977422102,13233.104959944481,1.0015531734421956
168,1,43,33,12929.636635945446,1.014553507637751,15157.570639024425,1.0035292074795261,13224.490775706796,1.0009012052468262
169,1,43,35,12924.164527739926,1.0141241261531506,15151.467568774964,1.0031251447575709,13231.018248354716,1.0013952397885961
170,1,43,37,12923.44528283399,1.0140676889567535,15154.71045786561,1.0033398449886688,13235.612074573435,1.0017429254785024
171,1,43,39,12923.925541134495,1.014105373522613,15156.21713531873,1.0034395967804606,13228.051060837317,1.0011706669401796
172,1,43,41,12927.138560888872,1.014357490465548,15156.740496360406,1.003474246666243,13237.607903737426,1.0018939806570788
173,1,43,43,12930.738430744546,1.014639962486375,15161.678964701945,1.0038012052098626,13224.043829368644,1.0008673779232546
174,1,42,11,12970.018355380718,1.0177221516028567,15109.668581846083,1.0003577814890672,13240.33537818539,1.0021004107199483
175,1,42,13,12966.715970147481,1.0174630223932517,15134.421885336978,1.001996610271482,13223.431459808318,1.0008210304728022
176,1,42,15,12983.814898935425,1.0188047289444186,15169.714842739531,1.0043332323077736,13244.467647902848,1.0024131633098783
177,1,42,17,12987.745116695087,1.01911312246901,15175.974758433524,1.0047476792125505,13264.348090910527,1.0039178230888228
178,1,42,19,12968.849090073592,1.017630402526521,15178.865690786175,1.0049390776313223,13238.226490146308,1.0019407986323565
179,1,42,21,12970.991570064305,1.017798517118665,15169.95202761616,1.0043489354805932,13239.176479908347,1.0020126990112765
180,1,42,23,12988.163792470206,1.0191459748211813,15196.369376427761,1.0060979348254064,13257.714551437393,1.0034157608343042
181,1,42,25,12976.439270455327,1.0182259833882819,15199.197537082448,1.006285177351799,13245.346433161436,1.0024796745456903
182,1,42,27,12987.437481386693,1.0190889831610006,15208.041085515124,1.0068706774534513,13259.565514758351,1.0035558517799774
183,1,42,29,12960.669304148807,1.016988556917446,15195.080289486685,1.0060125889327725,13223.847599629455,1.0008525261920393
184,1,42,31,12967.037815102314,1.0174882766936653,15204.275934316081,1.0066214000930616,13230.797573518736,1.0013785379198403
185,1,42,33,12972.983244642952,1.0179547984192718,15216.934417077702,1.007459473520274,13237.699790337256,1.001900935133442
186,1,42,35,12971.923281000158,1.0178716259479916,15210.899842333623,1.0070599456437679,13239.005210804437,1.0019997364363515
187,1,42,37,12968.820514144356,1.0176281602508828,15219.024470832164,1.0075978485961852,13233.636744369755,1.00159342177245
188,1,42,39,12964.06806848992,1.0172552487341615,15213.660414992995,1.0072427134077468,13228.223287476621,1.0011837019865781
189,1,42,41,12970.645791696445,1.0177713848282646,15210.457776953983,1.0070306780565899,13239.176678053203,1.0020127140079542
190,1,42,42,12997.537251165071,1.0198814846939905,15226.451745073146,1.0080895821866325,13270.013207872731,1.004346589873987
191,1,41,11,13023.154967146327,1.021891637364035,15179.288417549558,1.0049670648770321,13331.02438056164,1.0089642464109048
192,1,41,13,13018.825409690853,1.0215519087369551,15200.324232461431,1.0063597718727593,13315.910309903666,1.0078203315491288
193,1,41,15,13033.261827922182,1.0226846953083584,15239.942391453855,1.0089827502274242,13336.481118517218,1.009377241942384
194,1,41,17,13065.79421490352,1.025237423451699,15259.922694973997,1.0103055755425276,13343.212394434271,1.009886701421202
195,1,41,19,13021.10205266018,1.0217305507340357,15246.51848578701,1.0094181302029905,13318.334198512108,1.008003784588699
